Nom_scientifique,Nom_anglais,Nom_français,photo,Habitat_principal,Habitat_secondaire,LienURL,Lisence,droits,annotation,Type
Gallinula chloropus,Common Moorhen,Gallinule poule-d'eau,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGallinule%20poule-d'eau.jpg?alt=media&token=810cc8e3-26de-434f-a684-a98e46a82826,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGallinule%20poule-d'eau.wav?alt=media&token=d0d92bd0-4c24-4d18-b660-6507c775f40a,,D,son pas ouf,call
Bucephala clangula,Common Goldeneye,Garrot à oeil d'or,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGarrot%20%C3%A0%20oeil%20d'or.jpg?alt=media&token=090cc70e-7c61-4dd2-b1f1-3f405afe7318,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGarrot%20%C3%A0%20oeil%20d'or.wav?alt=media&token=046b4059-e30e-4bf4-90a4-ff16eeb259ec,,D,,call
Garrulus glandarius,Eurasian Jay,Geai des chênes,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGeai%20des%20ch%C3%AAnes.jpg?alt=media&token=b389fc5b-8a01-4212-b459-6d933e8d0b51,Milieu forestier,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGeai%20des%20ch%C3%AAnes.mp3?alt=media&token=2311b1fc-2e78-4187-9876-c351e8c733d4,,D,,song
Muscicapa striata,Spotted Flycatcher,Gobemouche gris,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGobemouche%20gris.jpg?alt=media&token=af65874c-2cbf-44de-b566-61c6d0275ac4,Milieu forestier,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGobemouche%20gris.wav?alt=media&token=d3dc31a0-87b4-4458-84a4-8981617a4527,,D,,call
Ficedula parva,Red-breasted Flycatcher,Gobemouche nain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGobemouche%20nain.jpg?alt=media&token=aa4faf45-b08c-4179-9694-66987fc20bb9,Milieu forestier,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGobemouche%20nain.wav?alt=media&token=d5d2f099-0d3a-4bd0-b6dc-42c2c844b832,,D,,song
Ficedula hypoleuca,European Pied Flycatcher,Gobemouche noir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGobemouche%20noir.jpg?alt=media&token=f386b520-3907-46a2-a4ea-067b8bd2d165,Milieu forestier,Milieu montagnard,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGobemouche%20noir.wav?alt=media&token=11285dab-70d4-4a70-ac7f-107dd4f9fa98,,D,pas sur que ce sois bon,song
Larus argentatus,European Herring Gull,Goéland argenté,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGo%C3%A9land%20argent%C3%A9.jpg?alt=media&token=9c258ecd-bb2f-4253-9b45-40db22726fb9,Milieu littoral,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGo%C3%A9land%20argent%C3%A9.wav?alt=media&token=c803f7a1-cc3f-4c32-b3ff-00a251825f92,,D,,call
Larus fuscus,Lesser Black-backed Gull,Goéland brun,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGo%C3%A9land%20brun.jpg?alt=media&token=71982a25-d4e1-447e-a65e-b33d59adfa5a,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGo%C3%A9land%20brun.wav?alt=media&token=627db18b-ba69-4629-8f39-7ff936d990c1,,D,pas trop interessant ressemble au goeland argenté et leucophée,call
Larus canus,Common Gull,Goéland cendré,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGo%C3%A9land%20cendr%C3%A9.jpg?alt=media&token=0e629c4d-ba57-4c99-be4a-81eded745860,Milieu littoral,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGo%C3%A9land%20cendr%C3%A9.wav?alt=media&token=98d3fe81-5f3d-4d0f-a6cf-44f303752627,,D,,call
Larus dominicanus,Kelp Gull,Goéland dominicain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGo%C3%A9land%20dominicain.jpg?alt=media&token=bc5cf36c-af6d-4d0e-a30a-df4962d2fc79,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGo%C3%A9land%20dominicain.wav?alt=media&token=aead9ef5-c33b-40db-9401-abc69043f961,,D,,call
Larus marinus,Great Black-backed Gull,Goéland marin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGo%C3%A9land%20marin.jpg?alt=media&token=1019516b-fa89-49b4-b5bb-67a97e82bb25,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGo%C3%A9land%20marin.wav?alt=media&token=5fed6e49-3196-45fd-8edf-45248055dd2e,,D,,call
Luscinia svecica,Bluethroat,Gorgebleue à miroir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGorgebleue%20%C3%A0%20miroir.jpg?alt=media&token=5142ecb7-071b-4547-bd30-0297f99b9083,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGorgebleue%20%C3%A0%20miroir%20song.mp3?alt=media&token=d65aeda6-bd8b-4a4d-b1e0-c374ddc18b8b,,C,all sound call alarm song,song
Phalacrocorax carbo,Great Cormorant,Grand Cormoran,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGrand%20Cormoran.jpg?alt=media&token=2bfa902b-78ae-42fc-9d2f-af7e3e125c61,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrand%20Cormoran.mp3?alt=media&token=e6bee11c-05ad-46b7-8283-406ff488ea4b,,D,,call
Stercorarius skua,Great Skua,Grand Labbe,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGrand%20Labbe.jpg?alt=media&token=58168fcc-662c-46c3-a409-f04504993de5,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrand%20Labbe.wav?alt=media&token=5824aa8e-7277-4285-a7b4-dcd55ca5d26a,,D,,call
Tetrao urogallus,Western Capercaillie,Grand Tétras,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGrand%20T%C3%A9tras.jpg?alt=media&token=d8a64d05-596c-4590-82e7-3c0917a003f1,Milieu montagnard,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrand%20T%C3%A9tras.wav?alt=media&token=acccd9d5-72a6-4f3f-bb96-f2c18de33ea9,,D,,song
Ardea alba,Great Egret,Grande Aigrette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGrande%20Aigrette.jpg?alt=media&token=002f6a2a-21fe-4e5c-8b77-ef7beaf20d1f,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrande%20Aigrette.wav?alt=media&token=a847277b-5ac1-4259-af80-079c0fc82523,,D,,call
Tachybaptus ruficollis,Little Grebe,Grèbe castagneux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGr%C3%A8be%20castagneux.jpg?alt=media&token=1a7c5f22-1141-451d-b0f9-3944b53e5fbb,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGr%C3%A8be%20castagneux.wav?alt=media&token=8cb4d6f1-5009-4a24-851f-0fd7dc9d3f5f,,D,,call
Podiceps cristatus,Great Crested Grebe,Grèbe huppé,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGr%C3%A8be%20hupp%C3%A9.jpg?alt=media&token=e57365be-656f-4603-9e2f-cc23151381ea,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGr%C3%A8be%20hupp%C3%A9.wav?alt=media&token=952251e5-f2d4-4c71-985c-801dc7b11bd8,,D,,call
Certhia brachydactyla,Short-toed Treecreeper,Grimpereau des jardins,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGrimpereau%20des%20jardins.jpg?alt=media&token=63630134-36b8-4d36-b5f2-16c62fd03b19,Milieu forestier,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrimpereau%20des%20jardins.wav?alt=media&token=0b3d47b2-a061-4757-9d93-acd7875c7708,,D,,song
Turdus viscivorus,Mistle Thrush,Grive draine,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGrive%20draine.jpg?alt=media&token=9ea58a30-6420-4401-9472-d107ef94493f,Milieu agricole,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrive%20draine.wav?alt=media&token=55de9fb3-fb14-4162-91d6-eba0480c5d50,,D,,song
Turdus pilaris,Fieldfare,Grive litorne,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGrive%20litorne.jpg?alt=media&token=771e5d61-3974-48f7-8a34-96def4c4eb72,Milieu montagnard,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrive%20litorne.wav?alt=media&token=1fc5688e-3e12-4916-b8ba-c1a3ff4d3e67,,D,,call alarm
Turdus philomelos,Song Thrush,Grive musicienne,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGrive%20musicienne.jpg?alt=media&token=0f454f50-83fd-4a05-ad88-a7a6fca5f868,Milieu urbain,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrive%20musicienne.wav?alt=media&token=c1bdb085-525c-461d-932e-aa3dabfc6cb8,,D,,song
Coccothraustes coccothraustes,Hawfinch,Gros-bec casse-noyaux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGros-bec%20casse-noyaux.jpg?alt=media&token=01623312-7685-4a59-92fa-681078d25717,Milieu forestier,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGros-bec%20casse-noyaux.mp3?alt=media&token=d756f781-0acb-476f-84dc-746599806e1b,,D,mouai,call
Grus grus,Common Crane,Grue cendrée,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGrue%20cendr%C3%A9e.jpg?alt=media&token=8b18380c-0e6b-4fc6-8d78-3073088c4e08,Milieu humide,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrue%20cendr%C3%A9e.wav?alt=media&token=bf1b88d2-4c91-4b42-970a-6860e6b4a536,,D,,call
Merops apiaster,European Bee-eater,Guêpier d'Europe,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGu%C3%AApier%20d'Europe.jpg?alt=media&token=ede53383-238b-47c8-ad43-879f33c47802,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGu%C3%AApier%20d'Europe.mp3?alt=media&token=560f3e60-68d2-4959-a030-5a43969e4bf5,,D,,song
Chlidonias hybrida,Whiskered Tern,Guifette moustac,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGuifette%20moustac.jpg?alt=media&token=656fa493-2a70-454f-ab18-8faeb652b2de,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGuifette%20moustac.wav?alt=media&token=a127a603-aa2e-468e-a2c2-85c88db81518,,D,,call
Chlidonias niger,Black Tern,Guifette noire,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGuifette%20noire.jpg?alt=media&token=26e78129-84b4-4623-9af9-d30b7e9ca614,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGuifette%20noire.wav?alt=media&token=b5d41376-7bc6-4780-af27-d4fabc9b0792,,D,,call
Acrocephalus melanopogon,Moustached Warbler,Lusciniole à moustaches,,Milieu humide,,,,,J4AI PAS PAS GRAVE,
Uria aalge,Common Murre,Guillemot de Troïl,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FGuillemot%20de%20Tro%C3%AFl.jpg?alt=media&token=7b32a217-85d1-4c8c-b2b6-cfeb161fab68,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGuillemot%20de%20Tro%C3%AFl.wav?alt=media&token=370852fb-1968-4240-bc3f-5fbd1143093a,,D,,call
Clangula hyemalis,Long-tailed Duck,Harelde boréale,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FHarelde%20bor%C3%A9ale.jpg?alt=media&token=b7715b47-fd66-4a63-8999-a7bcde1d7e7c,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHarelde%20bor%C3%A9ale.wav?alt=media&token=27ecfe78-7c7e-4248-8396-3a55f938ad83,,D,,call
Mergus serrator,Red-breasted Merganser,Harle huppé,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FHarle%20hupp%C3%A9.jpg?alt=media&token=f3f9d6b2-24d9-4bbe-b898-2a3d818cd764,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHarle%20hupp%C3%A9.wav?alt=media&token=f2ee88f3-3f14-4e2c-9f4e-9ead0cafd682,,D,,call
Anthus hodgsoni,Olive-backed Pipit,Pipit à dos olive,,Milieu humide,Milieu montagnard,,,,J4AI PAS PAS GRAVE,
Ardea cinerea,Grey Heron,Héron cendré,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FH%C3%A9ron%20cendr%C3%A9.jpg?alt=media&token=bd91f65b-582b-48c3-91d0-a517e1a8975d,Milieu humide,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FH%C3%A9ron%20cendr%C3%A9.wav?alt=media&token=8a5e9942-eb6d-4caf-9a5f-2c14e96f3529,,D,,call
Bubulcus ibis,Western Cattle Egret,Héron garde-bœufs,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FH%C3%A9ron%20garde-b%C5%93ufs.jpg?alt=media&token=1dd974bd-0595-498f-bfc6-a543177ab341,Milieu agricole,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FH%C3%A9ron%20garde-b%C5%93ufs.wav?alt=media&token=3fc5ac74-0bf4-45ea-9810-a91db93359a0,,D,,call
Ardea purpurea,Purple Heron,Héron pourpré,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FH%C3%A9ron%20pourpr%C3%A9.jpg?alt=media&token=9393b887-a29c-4818-913d-174c6aaa838d,Milieu humide,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FH%C3%A9ron%20pourpr%C3%A9.wav?alt=media&token=9aa9c7d8-a335-4d5c-a3be-4f28360001df,,D,,call
Asio flammeus,Short-eared Owl,Hibou des marais,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FHibou%20des%20marais.jpg?alt=media&token=b42d4f66-38eb-43a6-9adb-a797c046c7ba,Milieu agricole,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHibou%20des%20marais.wav?alt=media&token=fcad9180-b307-48d3-a0ab-f013982dbcdb,,D,,alarm
Bubo bubo,Eurasian Eagle-Owl,Hibou grand-duc,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FHibou%20grand-duc.jpg?alt=media&token=fc49b537-50a8-4165-84c1-d25bf3d8a43e,Milieu montagnard,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHibou%20grand-duc.mp3?alt=media&token=73da178d-735c-40f9-8b1a-bbb837a66d4a,,D,demender l'avis d'un expert,song
Asio otus,Long-eared Owl,Hibou moyen-duc,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FHibou%20moyen-duc.jpg?alt=media&token=c6df8d70-e2fa-47dd-aa06-a9d9fd8e1951,Milieu forestier,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHibou%20moyen-duc.wav?alt=media&token=79c16c6e-883c-45e2-8f4a-52f153928454,,D,,call
Delichon urbicum,Common House Martin,Hirondelle de fenêtre,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FHirondelle%20de%20fen%C3%AAtre.jpg?alt=media&token=fb99b078-1de2-4433-9acd-04ebc12fc6c7,Milieu urbain,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHirondelle%20de%20fen%C3%AAtre.wav?alt=media&token=9466c640-f47d-4d62-aa93-1d13c2347753,,D,,call
Riparia riparia,Sand Martin,Hirondelle de rivage,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FHirondelle%20de%20rivage.jpg?alt=media&token=b548aa29-c0d3-4cf7-8da8-bbe352dfd2e0,Milieu urbain,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHirondelle%20de%20rivage.wav?alt=media&token=ec2ad55d-7ddf-4816-8b0e-d1bc704ab1c6,,D,son arrive un peu tard,call
Ptyonoprogne rupestris,Eurasian Crag Martin,Hirondelle de rochers,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FHirondelle%20de%20rochers.jpg?alt=media&token=ab1a378c-ef93-4f58-8582-7e24240ac728,Milieu montagnard,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHirondelle%20de%20rochers.wav?alt=media&token=aa9e3bc2-d170-41cd-bc88-06223ed3d0bf,,D,,call
Cecropis rufula,European Red-rumped Swallow,Hirondelle rousseline,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FHirondelle%20rousseline.jpg?alt=media&token=bdb5dbd0-4a74-4e12-8e3c-22c2051677cb,Milieu urbain,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHirondelle%20rousseline.wav?alt=media&token=50fd6791-b0d0-4987-8aed-a66f7cca4cb7,,D,,call
Hirundo rustica,Barn Swallow,Hirondelle rustique,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FHirondelle%20rustique.jpg?alt=media&token=3651b5cd-3299-4516-855c-0b207bf6082b,Milieu urbain,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHirondelle%20rustique.mp3?alt=media&token=a65ca3e4-c9ea-4e09-b496-70aec2bfdf3e,,D,,
Anser serrirostris,Tundra Bean Goose,Oie de la toundra,,Milieu humide,Milieu agricole,,,,J'AI PAS PAS GRAVE,
Haematopus ostralegus,Eurasian Oystercatcher,Huîtrier pie,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FHu%C3%AEtrier%20pie.jpg?alt=media&token=29fbd3c7-2498-4fd6-926b-72c835ad25b6,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHu%C3%AEtrier%20pie.wav?alt=media&token=d87c60a3-db8a-4e44-a8cc-4a9277bdb143,,D,,call
Upupa epops,Eurasian Hoopoe,Huppe fasciée,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FHuppe%20fasci%C3%A9e.jpg?alt=media&token=4bef9e76-55b3-4ba1-ba91-f08e2735edf4,Milieu agricole,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHuppe%20fasci%C3%A9e.mp3?alt=media&token=371ce8cf-e994-4ab9-b2d6-0e0d218c3b1a,,D,,song
Hippolais polyglotta,Melodious Warbler,Hypolaïs polyglotte,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FHypola%C3%AFs%20polyglotte.jpg?alt=media&token=22421113-9bef-4ce4-8983-401edbc896a7,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHypola%C3%AFs%20polyglotte.mp3?alt=media&token=0e13ca3c-528f-4000-bc15-88a2304447f0,https://www.youtube.com/shorts/vhIXrcZgACQ,C,,song
Plegadis falcinellus,Glossy Ibis,Ibis falcinelle,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FIbis%20falcinelle.jpg?alt=media&token=dd1ad664-fa7b-4506-b545-8c3036e98c3d,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FIbis%20falcinelle.wav?alt=media&token=273e5f83-5356-418d-a15b-a46d47ecacce,,D,,call
Stercorarius pomarinus,Pomarine Jaeger,Labbe pomarin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FLabbe%20pomarin.jpg?alt=media&token=21827c03-073b-42d6-9712-19bc6ac2d1a3,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FLabbe%20pomarin.wav?alt=media&token=7ad605aa-b62e-43dd-8525-f14cb1e5a634,,D,,call
Lagopus muta,Rock Ptarmigan,Lagopède alpin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FLagop%C3%A8de%20alpin.jpg?alt=media&token=8e34e0f9-2465-4d5e-893a-2adcd98e77c5,Milieu montagnard,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FLagop%C3%A8de%20alpin.mp3?alt=media&token=b93e42b3-74ca-4145-bd1a-2fbf6c9dbfae,,C,,song
Leiothrix lutea,Red-billed Leiothrix,Léiothrix jaune,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FL%C3%A9iothrix%20jaune.jpg?alt=media&token=81e53a35-103e-4037-82f9-556e2000bd9d,Milieu urbain,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FL%C3%A9iothrix%20jaune.mp3?alt=media&token=74c8b540-3673-474c-a327-bb8a07f25617,https://www.youtube.com/shorts/85tMGz6EWM8?feature=share,C,,song
Locustella luscinioides,Savi's Warbler,Locustelle luscinioïde,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FLocustelle%20luscinio%C3%AFde.jpg?alt=media&token=0d5ffb54-f10d-4e9c-8fe6-7b0dd189e0b7,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FLocustelle%20luscinio%C3%AFde.wav?alt=media&token=c4d12abf-fb69-4e56-bf8d-835336b63e8c,,D,,song
Locustella naevia,Common Grasshopper Warbler,Locustelle tachetée,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FLocustelle%20tachet%C3%A9e.jpg?alt=media&token=a6ea1ffe-21e5-420f-91ef-903e51af3d22,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FLocustelle%20tachet%C3%A9e.mp3?alt=media&token=ba79fe37-c0f8-4649-a868-eb7fc0b51ea7,,D,,song
Oriolus oriolus,Eurasian Golden Oriole,Loriot d'Europe,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FLoriot%20d'Europe.jpg?alt=media&token=747e515e-c5c5-4387-951b-94df4833bc8b,Milieu forestier,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FLoriot%20d'Europe.mp3?alt=media&token=bdcf79cd-ab05-4e6c-be46-fdbc6bfb6d84,,D,,song
Fratercula arctica,Atlantic Puffin,Macareux moine,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMacareux%20moine.jpg?alt=media&token=3e96aedf-58fd-44cc-8ac0-0da414879bb1,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMacareux%20moine.wav?alt=media&token=b887e835-0de6-4f0b-bfd9-f6462de2611b,,D,,call
Melanitta nigra,Common Scoter,Macreuse noire,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FMacreuse%20noire.jpg?alt=media&token=938c2e1e-eecd-4447-b5a7-b0a45355f126,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMacreuse%20noire.wav?alt=media&token=7addc061-a510-4f83-9c02-fc4276f504af,,D,,call
