Nom_scientifique,Nom_anglais,Nom_français,Audio_URL,Type,droits,Lisence,annotation,Habitat_principal,Habitat_secondaire
Phalaropus lobatus,Red-necked Phalarope,Phalarope à bec étroit,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPhalarope%20%C3%A0%20bec%20%C3%A9troit.mp3?alt=media&token=d3e18adb-6c81-44f0-a964-23d989b306d1,call,C,https://youtu.be/xq3BHnSKR2w,a verifier,Milieu humide,
Acrocephalus paludicola,Aquatic Warbler,Phragmite aquatique,,,C,https://www.youtube.com/watch?v=ha9GT7Lcovs,,Milieu humide,
Puffinus puffinus,Manx Shearwater,Puffin des Anglais,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPuffin%20des%20Anglais.wav?alt=media&token=bc42e426-e48f-4de2-8b8e-4481f56ea94c,call,D,,,Milieu humide,
Phoenicurus ochruros,Black Redstart,Rougequeue noir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRougequeue%20noir.wav?alt=media&token=c83beea2-95a5-4880-859b-bd2dcce5a430,song,D,,,Milieu humide,
Acrocephalus scirpaceus,Eurasian Reed Warbler,Rousserolle effarvatte,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRousserolle%20effarvatte.mp3?alt=media&token=9bd9311c-4ee1-4405-b390-0786168d3c7d,song,D,,,Milieu humide,
Acrocephalus arundinaceus,Great Reed Warbler,Rousserolle turdoïde,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRousserolle%20turdo%C3%AFde.wav?alt=media&token=8a07f932-7e3f-4dfb-a1c0-7e91f3cf24fa,song,D,,,Milieu humide,
Thalassarche melanophris,Black-browed Albatross,Albatros à sourcils noirs,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlbatros%20%C3%A0%20sourcils%20noirs.wav?alt=media&token=f7f4c811-56cf-4281-9c9d-b65274fc0b99,call,D,,,Milieu littoral,
Phoebetria palpebrata,Light-mantled Albatross,Albatros fuligineux,,,,,,Milieu littoral,
Calcarius lapponicus,Lapland Longspur,Bruant lapon,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20lapon.wav?alt=media&token=0ccae29b-ee69-47f0-8c0c-c450b3c22086,song?,D,,a verifier,Milieu littoral,
Phoenicopterus roseus,Greater Flamingo,Flamant rose,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFlamant%20rose.wav?alt=media&token=9a7031b1-b102-4fb5-9379-2cfc31b01a22,call,D,,pas tres fort,Milieu littoral,
Larus dominicanus,Kelp Gull,Goéland dominicain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGo%C3%A9land%20dominicain.wav?alt=media&token=c945c6ce-f9a0-49f1-b991-82dac43454d3,call,D,,,Milieu littoral,
Melanitta nigra,Common Scoter,Macreuse noire,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMacreuse%20noire.wav?alt=media&token=06fc9ae1-85e4-422d-8f67-875b097cbb37,call,D,,,Milieu littoral,
Xema sabini,Sabine's Gull,Mouette de Sabine,,,,,J'AI PAS PAS GRAVE,Milieu littoral,
Otus scops,Eurasian Scops Owl,Petit-duc scops,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPetit-duc%20scops.mp3?alt=media&token=6d716d3a-15ca-462a-9f2a-b32bc83dad58,call,D,,pas tres fort,Milieu littoral,
Anthus pratensis,Meadow Pipit,Pipit farlouse,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPipit%20farlouse.wav?alt=media&token=1fd825f5-2042-4ae8-8c74-f730e567359b,song,D,,,Milieu littoral,
Anthus spinoletta,Water Pipit,Pipit spioncelle,,,,,J'AI PAS PAS GRAVE,Milieu littoral,
Phylloscopus collybita,Common Chiffchaff,Pouillot véloce,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPouillot%20v%C3%A9loce.wav?alt=media&token=768a45d6-68e2-4345-9acc-84edfb060d94,song,D,,,Milieu littoral,
Calonectris diomedea,Scopoli's Shearwater,Puffin de Scopoli,,,,,J'AI PAS PAS GRAVE,Milieu littoral,
Platalea leucorodia,Eurasian Spoonbill,Spatule blanche,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSpatule%20blanche.wav?alt=media&token=342cafda-da47-451c-a524-fe983a772a43,call,D,,a verifier,Milieu littoral,
Hydroprogne caspia,Caspian Tern,Sterne caspienne,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSterne%20caspienne.mp3?alt=media&token=c01f0819-c84f-4897-bdb3-7b6c2ab7599d,call,C,https://www.youtube.com/watch?v=tp5AjEjcGY4,,Milieu littoral,
Thalasseus sandvicensis,Sandwich Tern,Sterne caugek,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSterne%20caugek.wav?alt=media&token=6ada95c3-1779-4470-ad7f-3744015c06ad,call,D,,,Milieu littoral,
Corvus corax,Northern Raven,Grand Corbeau,,,,https://www.youtube.com/shorts/hRuSdePVEto?feature=share,pas trouver,Milieu montagnard,
Charadrius morinellus,Eurasian Dotterel,Guignard d'Eurasie,,,,,pas de son top,Milieu montagnard,
Petronia petronia,Rock Sparrow,Moineau soulcie,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMoineau%20soulcie.wav?alt=media&token=57171068-3d8f-4cb2-86ad-94f87dd924e3,call,D,,,Milieu montagnard,
Taeniopygia guttata,Zebra Finch,Diamant mandarin,,,,,J'AI PAS PAS GRAVE,Milieu urbain,
Delichon urbicum,Common House Martin,Hirondelle de fenêtre,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHirondelle%20de%20fen%C3%AAtre.wav?alt=media&token=a720005f-8f72-4d25-bb6d-95ac1f426b3e,call,D,,,Milieu urbain,
Hirundo rustica,Barn Swallow,Hirondelle rustique,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHirondelle%20rustique.mp3?alt=media&token=4308b652-3430-4da5-b643-af47c674f236,,D,,,Milieu urbain,
Leiothrix lutea,Red-billed Leiothrix,Léiothrix jaune,,,,,,Milieu urbain,
Alectoris rufa,Red-legged Partridge,Perdrix rouge,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPerdrix%20rouge.wav?alt=media&token=2400da2c-49a2-4e24-bbc9-c8c4f134dc9f,call,D,,,Milieu urbain,
Psittacula krameri,Rose-ringed Parakeet,Perruche à collier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPerruche%20%C3%A0%20collier.wav?alt=media&token=dd4e9e93-9219-4b1a-ac4a-a6c3e63de7b3,call,D,,,Milieu urbain,
Anthus godlewskii,Blyth's Pipit,Pipit de Godlewski,,,,,pas de son,,
Phylloscopus bonelli,Western Bonelli's Warbler,Pouillot de Bonelli,,,,,J'AI PAS PAS GRAVE,,
Phylloscopus humei,Hume's Leaf Warbler,Pouillot de Hume,,,D,,j'ai pas pas grave,,
